+--------------------------+--------------------+----------------------------+-------------------+--------------------+-----------------+---------------------------------------------------------------------+
|         Asteroid         | Accesibility [m/s] | Potential backup asteroids | Orbit Uncertainty | Synodic Period [y] | Spin Rate [rpm] |                           Additional Info                           |
+--------------------------+--------------------+----------------------------+-------------------+--------------------+-----------------+---------------------------------------------------------------------+
| 85585 Mjolnir (1998 FG2) |      2755.34       |            1.0             |         0         |        3.09        |      0.0014     |               Included in NHATS database, PHA asteroid              |
|     265482 (2005 EE)     |      3104.53       |            2.0             |         0         |        6.02        |      0.0063     |                             PHA asteroid                            |
|     306383 (1993 VD)     |      3432.05       |            5.0             |         0         |        4.55        |      0.0177     |                             PHA asteroid                            |
|    422686 (2000 AC6)     |      2386.84       |            1.0             |         0         |        3.73        |      0.0068     | SMASSII Taxonomy Known: Q, Included in NHATS database, PHA asteroid |
|     433303 (2013 NX)     |      3133.33       |            1.0             |         2         |       21.44        |      0.109      |                      Included in NHATS database                     |
|     437844 (1999 MN)     |      2629.69       |            1.0             |         0         |        1.24        |      0.003      |                             PHA asteroid                            |
|    533011 (2014 AY28)    |       514.33       |            1.0             |         0         |        2.42        |      0.0182     |                             PHA asteroid                            |
|    612509 (2002 UK11)    |      4466.53       |            2.0             |         0         |        2.91        |      0.0021     |                             PHA asteroid                            |
|    745311 (2010 XC15)    |      1457.47       |            1.0             |         0         |        1.68        |      0.0062     |                             PHA asteroid                            |
|    756065 (2018 DH1)     |      2465.76       |            1.0             |         0         |        1.49        |      0.0033     |                             PHA asteroid                            |
|        (1994 CJ1)        |      1975.33       |            2.0             |         0         |        2.22        |      0.0006     |                     Secondary body, PHA asteroid                    |
|        (1995 CR)         |      9104.41       |            1.0             |         0         |        6.34        |      0.0063     |                             PHA asteroid                            |
|        (2000 KA)         |      1676.72       |            3.0             |         0         |        2.86        |      0.0015     |                             PHA asteroid                            |
|       (2003 AF23)        |       3182.4       |            1.0             |         0         |        4.49        |      0.0008     |                             PHA asteroid                            |
|        (2008 KV2)        |      2881.49       |            2.0             |         0         |        3.63        |      0.4386     |                             PHA asteroid                            |
|        (2011 CG2)        |      1358.49       |            1.0             |         0         |        4.6         |      0.0015     |               Included in NHATS database, PHA asteroid              |
|        (2013 NJ)         |      1761.21       |            1.0             |         0         |        3.18        |      0.0001     |                      Included in NHATS database                     |
|       (2015 NA14)        |      3100.85       |            1.0             |         1         |       18.74        |      0.0024     |          4.0 close approaches from 2030-01-01 to 2035-01-01         |
|        (2019 BK)         |      5668.65       |            2.0             |         0         |        1.51        |      0.0058     |                             PHA asteroid                            |
|        (2022 HB)         |       4164.3       |            1.0             |         0         |        11.2        |      0.0002     |                             PHA asteroid                            |
|        (2022 UD9)        |      2536.47       |            2.0             |         3         |        2.31        |      0.0013     |                             PHA asteroid                            |
+--------------------------+--------------------+----------------------------+-------------------+--------------------+-----------------+---------------------------------------------------------------------+
