+--------------+--------------------+----------------------------+-------------------+--------------------+-----------------+--------------------------------------------------------------------------------------+
|   Asteroid   | Accesibility [m/s] | Potential backup asteroids | Orbit Uncertainty | Synodic Period [y] | Spin Rate [rpm] |                                   Additional Info                                    |
+--------------+--------------------+----------------------------+-------------------+--------------------+-----------------+--------------------------------------------------------------------------------------+
| (2003 SW130) |       854.68       |            5.0             |         5         |        4.91        |       None      |                            ['Included in NHATS database']                            |
|  (2007 EK)   |       838.37       |            4.0             |         6         |        6.12        |       None      |                            ['Included in NHATS database']                            |
|  (2008 WO2)  |       327.26       |            11.0            |         6         |       27.38        |       None      |                            ['Included in NHATS database']                            |
|  (2009 WQ6)  |      1155.15       |            3.0             |         5         |        4.17        |       None      |                                          []                                          |
| (2011 AM37)  |       718.94       |            21.0            |         6         |        7.48        |       None      |                            ['Included in NHATS database']                            |
| (2012 FT35)  |       149.72       |            12.0            |         6         |        3.2         |       None      |                            ['Included in NHATS database']                            |
| (2012 KT42)  |      1939.83       |            1.0             |         6         |        1.98        |      0.2752     |                ['3.0 close approaches from 2030-01-01 to 2035-01-01']                |
|  (2013 RG)   |      2613.81       |            0.0             |         7         |        1.69        |       None      |                                          []                                          |
| (2014 WX202) |       219.47       |            26.0            |         2         |       19.58        |       None      |                            ['Included in NHATS database']                            |
| (2015 XH55)  |       518.27       |            8.0             |         6         |       14.98        |       None      |                                          []                                          |
|  (2016 EG1)  |      1280.06       |            1.0             |         7         |        4.53        |       None      |                                          []                                          |
| (2016 EU84)  |       218.26       |            28.0            |         5         |        7.56        |       None      |                            ['Included in NHATS database']                            |
| (2017 BG30)  |       307.57       |            12.0            |         6         |       12.89        |       None      |                            ['Included in NHATS database']                            |
|  (2017 JQ1)  |      1195.45       |            2.0             |         7         |        5.37        |       None      |                                          []                                          |
| (2017 QB35)  |       633.51       |            15.0            |         4         |        8.7         |       None      |                                          []                                          |
|  (2017 TB)   |       534.4        |            20.0            |         6         |       16.97        |       None      |                            ['Included in NHATS database']                            |
|  (2018 BC)   |       705.04       |            21.0            |         4         |       14.63        |       None      |                                          []                                          |
|  (2018 TV5)  |      1881.64       |            0.0             |         6         |        2.29        |       None      |                                          []                                          |
|  (2018 UL)   |       482.05       |            6.0             |         6         |        2.79        |       None      |                                          []                                          |
|  (2019 BU3)  |       655.26       |            11.0            |         7         |        3.91        |       None      |                            ['Included in NHATS database']                            |
|  (2019 GV5)  |       542.14       |            19.0            |         5         |        7.6         |       None      |                            ['Included in NHATS database']                            |
|  (2019 HR2)  |       664.67       |            5.0             |         7         |        3.56        |       None      |                            ['Included in NHATS database']                            |
|  (2019 JY2)  |       522.37       |            16.0            |         5         |        8.33        |       None      |                            ['Included in NHATS database']                            |
|  (2019 NX5)  |       272.46       |            14.0            |         6         |        7.23        |       None      |                            ['Included in NHATS database']                            |
| (2019 VC37)  |       319.14       |            15.0            |         6         |       13.93        |       None      |                                          []                                          |
|  (2019 XV)   |       177.16       |            24.0            |         5         |        7.48        |       None      |                            ['Included in NHATS database']                            |
| (2020 BZ13)  |      4785.99       |            0.0             |         7         |        3.35        |       None      |                                          []                                          |
|  (2020 DR4)  |       840.28       |            2.0             |         6         |        2.79        |       None      |                            ['Included in NHATS database']                            |
|  (2020 FM1)  |      1002.44       |            13.0            |         6         |        5.72        |       None      |                            ['Included in NHATS database']                            |
|  (2020 KF5)  |      1644.18       |            2.0             |         7         |        2.31        |       None      |                                          []                                          |
|  (2020 PX5)  |      1467.87       |            0.0             |         7         |        1.66        |       None      |                                          []                                          |
|  (2020 RD4)  |       998.77       |            5.0             |         6         |       58.88        |       None      |                ['4.0 close approaches from 2030-01-01 to 2035-01-01']                |
|  (2020 SW)   |       354.26       |            13.0            |         4         |       10.54        |      2.1087     |                            ['Included in NHATS database']                            |
|  (2020 SN3)  |       650.43       |            17.0            |         7         |        5.85        |       None      |                            ['Included in NHATS database']                            |
|  (2020 TS1)  |       201.85       |            11.0            |         5         |        5.1         |      0.1111     |                            ['Included in NHATS database']                            |
|  (2020 XC)   |       507.23       |            21.0            |         5         |        9.63        |       None      |                            ['Included in NHATS database']                            |
|  (2021 DA2)  |       756.36       |            5.0             |         5         |        5.73        |       None      |                            ['Included in NHATS database']                            |
|  (2021 EF3)  |       573.77       |            3.0             |         6         |        3.23        |       None      |                            ['Included in NHATS database']                            |
|  (2021 GE2)  |      1955.76       |            0.0             |         7         |        4.5         |       None      |                                          []                                          |
|  (2021 KQ2)  |      1460.98       |            14.0            |         5         |        6.83        |       None      |                            ['Included in NHATS database']                            |
|  (2021 NM1)  |      1354.31       |            0.0             |         7         |        3.29        |       None      |                                          []                                          |
|  (2021 UX1)  |       384.48       |            11.0            |         6         |        4.5         |       None      |                            ['Included in NHATS database']                            |
|  (2021 UF3)  |       172.97       |            14.0            |         7         |        5.54        |       None      |                            ['Included in NHATS database']                            |
| (2021 UF12)  |      2096.54       |            0.0             |         6         |        6.02        |      4.0375     |                                          []                                          |
|  (2021 VH)   |       524.05       |            15.0            |         4         |       113.16       |       None      | ['9.0 close approaches from 2030-01-01 to 2035-01-01', 'Included in NHATS database'] |
|  (2021 VY7)  |      1709.84       |            3.0             |         7         |        3.82        |       None      |                                          []                                          |
|  (2022 BT)   |       978.39       |            16.0            |         6         |        4.56        |      0.4554     |                            ['Included in NHATS database']                            |
|  (2022 BN2)  |       913.63       |            5.0             |         6         |       10.54        |       None      |                                          []                                          |
|  (2022 BM3)  |       792.89       |            8.0             |         7         |        5.23        |       None      |                            ['Included in NHATS database']                            |
|  (2022 BX5)  |       722.51       |            21.0            |         5         |        9.29        |       None      |                            ['Included in NHATS database']                            |
|  (2022 CU4)  |       290.86       |            17.0            |         6         |        5.58        |       None      |                            ['Included in NHATS database']                            |
|  (2022 EO)   |       566.72       |            8.0             |         7         |        61.5        |       None      |                ['3.0 close approaches from 2030-01-01 to 2035-01-01']                |
|  (2022 GA2)  |       525.18       |            3.0             |         6         |        3.33        |       None      |                            ['Included in NHATS database']                            |
|  (2022 KQ5)  |       979.72       |            3.0             |         5         |        2.99        |       None      |                            ['Included in NHATS database']                            |
| (2022 UL11)  |       616.45       |            0.0             |         7         |        1.21        |       None      |                                          []                                          |
| (2022 UC14)  |       425.7        |            15.0            |         5         |       58.08        |       None      | ['3.0 close approaches from 2030-01-01 to 2035-01-01', 'Included in NHATS database'] |
|  (2022 XL)   |      1075.68       |            5.0             |         6         |        5.57        |       None      |                            ['Included in NHATS database']                            |
|  (2023 BU)   |       1618.9       |            18.0            |         1         |        7.1         |       None      |                            ['Included in NHATS database']                            |
|  (2023 CZ2)  |       164.45       |            21.0            |         6         |       11.08        |       None      |                                          []                                          |
|  (2023 FY3)  |       290.39       |            22.0            |         3         |       10.48        |       None      |                                          []                                          |
|  (2023 HZ)   |      1629.42       |            3.0             |         7         |        5.45        |       None      |                                          []                                          |
|  (2023 JA3)  |       506.34       |            5.0             |         6         |       12.08        |       None      |                            ['Included in NHATS database']                            |
|  (2023 MB3)  |       1343.0       |            5.0             |         5         |        4.71        |       None      |                            ['Included in NHATS database']                            |
|  (2023 RK5)  |       961.55       |            3.0             |         7         |        2.25        |       None      |                                          []                                          |
|  (2023 TB1)  |      1030.15       |            6.0             |         5         |        5.18        |       None      |                            ['Included in NHATS database']                            |
|  (2023 TX6)  |       993.02       |            10.0            |         5         |       10.91        |       None      |                            ['Included in NHATS database']                            |
|  (2023 TD7)  |      1194.94       |            6.0             |         5         |        8.57        |       None      |                            ['Included in NHATS database']                            |
| (2023 TP16)  |       662.64       |            21.0            |         6         |        7.71        |       None      |                            ['Included in NHATS database']                            |
| (2023 TO17)  |      1648.71       |            1.0             |         6         |        4.42        |       None      |                                          []                                          |
| (2023 TD167) |       711.34       |            7.0             |         7         |        3.5         |       None      |                            ['Included in NHATS database']                            |
|  (2023 UY)   |       646.94       |            10.0            |         4         |        9.84        |       None      |                            ['Included in NHATS database']                            |
|  (2023 VP3)  |       712.3        |            5.0             |         5         |        2.67        |       None      |                            ['Included in NHATS database']                            |
|  (2023 XU)   |      1087.38       |            1.0             |         7         |        2.75        |       None      |                            ['Included in NHATS database']                            |
|  (2024 CF7)  |       1167.3       |            1.0             |         7         |        8.04        |       None      |                                          []                                          |
|  (2024 GV2)  |       307.43       |            3.0             |         6         |        3.48        |       None      |                            ['Included in NHATS database']                            |
|  (2024 GX3)  |       832.92       |            4.0             |         6         |        6.95        |       None      |                                          []                                          |
|  (2024 HQ)   |       421.06       |            3.0             |         7         |        3.41        |       None      |                            ['Included in NHATS database']                            |
|  (2024 HO2)  |      1083.27       |            0.0             |         7         |        1.71        |       None      |                                          []                                          |
| (2024 JN16)  |       756.01       |            15.0            |         5         |        9.26        |       None      |                            ['Included in NHATS database']                            |
|  (2024 RH7)  |       1866.7       |            0.0             |         7         |        4.34        |       None      |                                          []                                          |
