ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
85585 Mjolnir (1998 FG2),21.64,.3563045847545428,1.297515984047975,.8352050901393796,4.082499313984437,2.305356014755264,95.41800051744403,1.759826877956571,37.5292849270066,1.47800967579934,.0217554,0,,11.6,0,Y,2755.3366293170666,3.092007862242066,2.0,2032-03-01,True,False,0.0,-,999.0
154019 (2002 CZ9),22.07,.3601494043145473,1.325427101594649,.8480753204929795,4.971131389708009,142.8426516737304,80.88047220623955,1.80277888269632,264.5347072333179,1.52595586266861,.0260357,1,,,0,Y,3105.2699333604924,2.9013002249393534,2.0,2034-05-26,True,False,2.0,(1994 CJ1),0.5300000000000011
154590 (2003 MA3),21.71,.4022072081425588,1.105144851116095,.6606476259555665,1.415953844692027,152.6694901743151,228.8785061369277,1.549642076276623,56.98778647946205,1.16181508012036,.0130953,0,,,0,Y,1792.8626794530887,7.179893735838392,1.0,2034-01-25,False,False,2.0,(2024 JR16),0.10999999999999943
163015 (2001 UX16),22.07,.368262607576374,1.416856712922664,.895081365259674,10.61769729313553,213.369598930054,254.5738584114819,1.938632060585654,182.5524303486776,1.68654176541898,.0634267,0,,,0,N,4641.365095196105,2.4565756234651275,1.0,2034-03-14,False,False,0.0,-,999.0
163026 (2001 XR30),21.23,.3652028312727474,1.297102563012041,.8233970345489064,11.86253021001536,247.8487706478177,294.5007751299536,1.770808091475176,106.0737641580872,1.47730333581235,.0209428,0,,,0,Y,1901.5545942370513,3.0951037316721086,1.0,2030-05-29,False,False,0.0,-,999.0
164207 Cardea (2004 GU9),21.18,.1359367524206634,1.001265652687661,.8651568515509444,13.65288433586593,38.41359098121186,279.4797011089861,1.137374453824377,63.62772472145569,1.0019180020664,.000169655,0,,,0,Y,678.4135622751306,522.3758720692873,5.0,2031-10-20,True,False,1.0,(2007 VD3),1.0199999999999996
251732 (1998 HG49),21.76,.1124537624425801,1.200599506364449,1.065587574687062,4.195081012985748,44.80561860903434,324.2480040659954,1.335611438041835,248.7175636913556,1.31554419619003,.0766293,0,,,0,N,725.8461449266373,4.169128166749011,1.0,2031-07-27,True,False,1.0,429389 (2010 PR10),0.10000000000000142
253062 (2002 TC70),21.10,.196499639069916,1.368623774024339,1.09968969640605,2.147704495828547,134.7388882075156,162.0963568216461,1.637557851642628,329.2295329568586,1.60115848772272,.0851894,0,,26.273,0,N,786.1524864678237,2.6634548466381176,1.0,2034-07-24,False,False,0.0,-,999.0
264357 (2000 AZ93),21.17,.3600103805628979,.7468521847490878,.477977645493337,8.587995606154129,277.3018960858918,8.171645252686359,1.015726724004838,311.1265499567853,0.645446404546295,.0220483,0,,,0,Y,1721.1797165142914,1.820448058692928,1.0,2031-01-06,False,False,0.0,-,999.0
265482 (2005 EE),21.21,.3277465615416397,1.128629800309392,.7587252640045612,6.171145404581699,110.776079050655,284.7514536251471,1.498534336614222,214.4673015010528,1.19904497134888,.0181169,0,,2.6534,0,Y,3104.53019605108,6.023990273269602,1.0,2034-12-28,False,False,2.0,(2017 NR6),0.9699999999999989
286080 (2001 TX1),21.24,.4825121859877517,1.047454152895094,.5420447598597335,2.802401342745746,159.1416726220567,354.1846831676733,1.552863545930455,86.91207907661747,1.07203937460697,.0423686,0,,,0,Y,2597.9984403426083,14.881297630021999,1.0,2031-11-04,False,False,4.0,475534 (2006 TS7),0.010000000000001563
306383 (1993 VD),21.49,.5515381658934815,.8758450567995626,.3927830805654597,2.066577017440283,2.169720719704622,254.2391007095419,1.358907033033665,6.107262318759677,0.819689037816094,.01731,0,,0.94345,0,Y,3432.047649143229,4.5459745091929715,1.0,2034-10-26,False,False,5.0,(2009 BE58),0.23000000000000043
326290 Akhenaten (1998 HE3),21.83,.4401984983087203,.8789578020729722,.4920418975237164,3.378690500306882,53.44379262125032,309.3442340894763,1.265873706622228,305.228392633159,0.824062668981015,.00312961,0,,,0,Y,1834.001647575737,4.683842048803687,1.0,2030-02-15,False,False,3.0,(2018 YJ2),0.10999999999999943
350462 (1998 KG3),22.10,.1170546538199649,1.159172933304672,1.02348634687922,5.508203579920086,207.8240405327573,267.9651032990092,1.294859519730123,152.2839986878212,1.24804587719965,.0968978,0,,13.335,0,N,1908.4498761945886,5.031512280267043,1.0,2033-04-30,True,False,0.0,-,999.0
360191 (1988 TA),21.08,.4786013806480185,1.540222309642886,.8030697857429209,2.532387687960378,194.6530280158804,105.2571049385507,2.277374833542851,329.3948947858424,1.91153967671966,.00580324,0,,,0,Y,2386.8214628248024,2.0970449510203224,2.0,2032-09-18,False,False,0.0,-,999.0
